MJD rate rate_err
60793.0213415544 0.6700854 0.1596895
60793.0220822951 0.5391523 0.1448178
60793.0228230359 0.749575 0.1420993
60793.0235637766 0.7875596 0.162505
60793.0243045174 0.5579196 0.1492128
60793.0250452581 0.8171572 0.1604043
60793.0257859988 0.5814431 0.1518149
60793.0265267396 0.8883394 0.1645349
60793.0272674803 0.6920162 0.198362
60793.9294897025 0.8770029 0.2813512
60793.930971184 0.5317494 0.2185639
60793.933934147 0.5132537 0.2134122
60793.9346748877 0.8626401 0.2720147
60793.9361563692 0.7345108 0.2544867
60840.1094864074 0.4981309 0.1952058
