MJD rate rate_err
60805.9563564305 0.1849097 0.08392154
60805.9570971713 0.2846605 0.07517253
60805.957837912 0.2678417 0.1052161
60805.9585786528 0.169769 0.09197708
60805.9593193935 0.2344771 0.07469686
60807.0570970324 0.5788093 0.2657404
60807.0578377732 0.3340478 0.1344779
60807.0585785139 0.2467636 0.117786
60807.0593192546 0.2856176 0.1249323
60807.0600599954 0.2257199 0.118592
60807.0608007361 0.4679484 0.1558
60807.0622822176 0.4355676 0.1542476
60807.1230229583 0.2014224 0.134263
60807.1237636991 0.1821407 0.08477373
60807.1245044398 0.3902595 0.1333178
60807.1252451806 0.2722249 0.1178537
60807.1259859213 0.2400533 0.112181
60807.126726662 0.2742909 0.1177823
60807.1274674028 0.3128121 0.1236366
60807.1282081435 0.2997919 0.1231816
60807.1289488843 0.205392 0.1068913
60812.3030225995 0.3183052 0.1131278
60812.3037633403 0.1660693 0.06933106
60812.3052448218 0.1636154 0.06983053
60812.3059855625 0.2381658 0.07995261
60812.3067263032 0.1835834 0.07184883
60812.307467044 0.2635715 0.1076868
60812.3082077847 0.4027738 0.1383872
60812.3096892662 0.3258147 0.08832288
60812.3104300069 0.1987512 0.07459732
60812.3111707477 0.1432078 0.06575768
60812.3119114884 0.1197536 0.06244546
60812.3126522292 0.1596565 0.06890541
60812.3141337106 0.2437926 0.136441
60812.3156151921 0.3095819 0.142188
60812.3163559329 0.1374501 0.06577593
60812.3689485255 0.2948005 0.1463972
60812.3704300069 0.391373 0.2152907
60812.3719114884 0.2926514 0.1457581
60812.3726522292 0.1022295 0.05787656
60812.3733929699 0.1840241 0.07158864
60812.3741337106 0.1735216 0.07036925
60812.3748744514 0.2188797 0.07562856
60812.3756151921 0.2984256 0.08077148
60812.3770966736 0.2361344 0.07817912
60812.3778374144 0.1946252 0.07292742
60812.3785781551 0.1536606 0.06728593
60812.3793188958 0.1684613 0.08289365
60818.0985777384 0.1288282 0.06331931
60818.0993184792 0.1786893 0.07276502
60818.1007999607 0.1836125 0.07282953
60818.1015407014 0.165051 0.07011349
60818.1030221829 0.1093609 0.05993002
60818.1037629236 0.1420971 0.06691933
60818.1045036644 0.1648924 0.06986161
60818.1052444051 0.1665071 0.06980203
60818.1059851458 0.1396368 0.06679397
60818.1682073681 0.1023933 0.05792602
60818.1696888495 0.1039844 0.05790494
60818.1704295903 0.2747139 0.07651299
60818.1719110718 0.1039992 0.05791322
60818.1726518125 0.1077884 0.05791645
60818.6222814421 0.1191774 0.06231624
60818.6237629236 0.1386142 0.06580183
60818.6274666273 0.160286 0.06932083
60819.2682073681 0.1711576 0.0777989
60819.2689481088 0.09976262 0.05421467
60819.2696888495 0.244941 0.07849644
60819.2704295903 0.1525676 0.06450524
60819.2719110718 0.2514514 0.07944436
60819.2726518125 0.2430749 0.07847344
60819.2733925532 0.1511985 0.0654664
60819.2748740347 0.2857292 0.07801998
60819.2756147755 0.1105155 0.05868356
60819.2763555162 0.1600467 0.06499974
60819.2770962569 0.1842362 0.07835545
60826.342280875 0.2816668 0.1339879
60826.3437623565 0.2445394 0.1286357
60840.1133910023 0.07926623 0.05493812
60847.5889460602 0.08243715 0.05046102
60847.5948719861 0.06184364 0.04511837
