obsid,mjd,mjd_err,mjd_obs,mjd_end,model,stat,AIC,BIC,AICc,red_chi2,DOF,exp,rate,rate_err,nh,nh_lowbound,nh_upbound,flux,flux_lowbound,flux_upbound,po_Gamma,po_Gamma_lowbound,po_Gamma_upbound,po_norm,po_norm_lowbound,po_norm_upbound,factor,factor_lowbound,factor_upbound
016_ep_fxt_11900189697_AB,60786.53592160402,0.005388395973568549,60786.53053320805,60786.54131,tbabs*po,141.0194854736328,163.0194854736328,194.89572327309284,165.18341989986232,1.1464998818994538,123.0,931.1148071289062,0.8189318776130676,0.029666006565093994,2.215442419052124,2.0554940700531006,2.381643295288086,-9.886869430541992,-9.90625286102295,-9.86776065826416,0.9941226243972778,0.9031383395195007,1.0867688655853271,0.008453057147562504,0.007402888964861631,0.009671003557741642,1.0051320791244507,0.9563942551612854,1.0564098358154297
017_ep_fxt_11900200704_AB,60794.12727494955,0.000676908326568082,60794.12659804122,60794.127951857874,tbabs*po,27.108257293701172,49.10825729370117,70.98708180590819,55.39397157941546,0.6304245882256087,43.0,116.96980285644531,0.5981014966964722,0.0715278685092926,0.9323481917381287,0.0,1.4698176383972168,-9.908649444580078,-9.990476608276367,-9.82475471496582,0.17131073772907257,-0.14079174399375916,0.4930340349674225,0.0020984732545912266,0.0013409446692094207,0.003317639697343111,1.1048842668533325,0.9419509768486023,1.297370195388794
018_ep_fxt_11900200704_AB,60794.22504148378,0.002611108800920192,60794.22243037498,60794.227652592584,tbabs*po,78.67544555664062,100.67544555664062,126.45730519703115,104.73698401817909,1.1920522054036458,66.0,451.1995849609375,0.27676981687545776,0.024779148399829865,2.580935001373291,2.0157339572906494,3.1792795658111572,-10.174700736999512,-10.224181175231934,-10.125166893005371,0.41512331366539,0.17089281976222992,0.6659947633743286,0.0017357453471049666,0.0011856884229928255,0.0025652609765529633,1.0986300706863403,0.9747843742370605,1.2391401529312134
019_ep_fxt_11900206208_AB,60796.48345634267,0.002298101764608873,60796.48115824091,60796.48575444444,tbabs*po,68.32720947265625,90.32720947265625,118.76185173803253,93.39697691451671,0.7853702238236351,87.0,397.11199951171875,0.875813364982605,0.04697606712579727,1.2755100727081299,1.1251473426818848,1.4308044910430908,-10.05181884765625,-10.081729888916016,-10.022061347961426,1.2369792461395264,1.1081745624542236,1.3683042526245117,0.008120070211589336,0.006875509861856699,0.009607888758182526,1.0093141794204712,0.9376028180122375,1.0866641998291016
020_ep_fxt_11900206208_AB,60796.54362481481,0.012731481481750961,60796.53089333333,60796.55635629629,tbabs*po,142.3271484375,164.3271484375,197.58983416680906,166.21286272321427,1.0094124002659575,141.0,2200.0,0.8181165456771851,0.01929008774459362,1.294646143913269,1.2372187376022339,1.3532962799072266,-10.097431182861328,-10.110239028930664,-10.084694862365723,1.3041338920593262,1.2508808374404907,1.3579598665237427,0.007983402349054813,0.007464687805622816,0.008542493917047977,1.0663477182388306,1.0327625274658203,1.1010587215423584
021_ep_fxt_11900210816_AB,60798.73517574074,0.004050925927003846,60798.73112481481,60798.739226666665,tbabs*po,94.6378402709961,116.6378402709961,145.83140412272886,119.47654994841545,1.0067855347978307,94.0,700.0,0.6324513554573059,0.03006795421242714,1.4178587198257446,1.2854667901992798,1.5547903776168823,-10.19536018371582,-10.22105884552002,-10.170082092285156,1.3642113208770752,1.2492800951004028,1.4813921451568604,0.006877869367599487,0.0059431251138448715,0.007975198328495026,1.0399829149246216,0.9747356176376343,1.1097347736358643
022_ep_fxt_11900210816_AB,60798.67110683787,0.006777236194466241,60798.66432960168,60798.677884074066,tbabs*po,115.505859375,137.505859375,168.6173104853253,139.8421425608407,1.013209292763158,114.0,1171.10595703125,0.7236582040786743,0.024865763261914253,1.4385710954666138,1.3426910638809204,1.5374208688735962,-10.120553970336914,-10.139362335205078,-10.101917266845703,1.3026208877563477,1.2199597358703613,1.3865526914596558,0.007554627023637295,0.006798735819756985,0.00840503815561533,0.9527164697647095,0.9082304239273071,0.9994118809700012
023_ep_fxt_11900210816_AB,60798.55171961659,0.00462257954859524,60798.54709703704,60798.556342196134,tbabs*po,99.20035552978516,121.20035552978516,151.39460894178092,123.76346232590166,0.9538495724017804,104.0,798.7816772460938,0.7406532764434814,0.03046020306646824,1.4032011032104492,1.2924977540969849,1.5177892446517944,-10.107726097106934,-10.130501747131348,-10.085055351257324,1.2702001333236694,1.1708338260650635,1.3712607622146606,0.007459532003849745,0.006581554189324379,0.008467847481369972,0.9630171656608582,0.9096057415008545,1.0196188688278198
024_ep_fxt_11900247936_AB,60822.66777340928,0.0072504463205405045,60822.66052296296,60822.6750238556,tbabs*po,37.790096282958984,59.790096282958984,82.06896488104562,65.79009628295898,0.8397799173990885,45.0,1252.876953125,0.0533989742398262,0.0068196021020412445,7.301689147949219,5.293144702911377,9.724687576293945,-10.70719051361084,-10.811419486999512,-10.512042999267578,1.5108137130737305,0.9269531965255737,2.1504368782043457,0.0025251591578125954,0.0009863744489848614,0.007099479902535677,1.0041800737380981,0.843603789806366,1.1962090730667114
025_ep_fxt_11900248960_AB,60823.46803551115,0.007302266625629272,60823.46073324452,60823.475337777774,tbabs*po,65.11394500732422,87.11394500732422,112.00342365477869,91.58852127851065,1.085232416788737,60.0,1261.83203125,0.08838480710983276,0.008572250604629517,2.1173298358917236,1.6299328804016113,2.658581495285034,-10.844155311584473,-10.896790504455566,-10.792375564575195,0.9177740812301636,0.6453382968902588,1.2017741203308105,0.0008346243412233889,0.000557159015443176,0.0012637402396649122,1.196262240409851,1.0518507957458496,1.3616076707839966
026_ep_fxt_11900250368_AB,60824.535132318306,0.007159731845604256,60824.52797258646,60824.54229205015,tbabs*po,52.264930725097656,74.26493072509766,97.8394127154045,79.44140131333295,1.0050948216364934,52.0,1237.2020263671875,0.0904417335987091,0.00866782758384943,2.7589919567108154,2.183091878890991,3.3839728832244873,-10.751002311706543,-10.803757667541504,-10.698835372924805,0.9000221490859985,0.6108497977256775,1.2000174522399902,0.0010048117255792022,0.0006561963236890733,0.001559969037771225,0.7825928926467896,0.6804167628288269,0.8997476100921631
027_ep_fxt_11900251904_AB,60825.66862481482,0.006944444445252884,60825.66168037037,60825.67556925926,tbabs*po,22.477399826049805,44.477399826049805,64.59245518742985,52.24210570840275,0.642211423601423,35.0,1200.0,0.048945337533950806,0.00645499536767602,5.90304708480835,4.264205455780029,7.741392135620117,-10.798358917236328,-10.870569229125977,-10.709261894226074,1.0493505001068115,0.582007884979248,1.5476787090301514,0.0011226386995986104,0.0005234911805018783,0.002525160787627101,0.8061789274215698,0.667996346950531,0.9728855490684509
028_ep_fxt_11900253569_AB,60826.802545033235,0.007283485283551272,60826.79526154795,60826.80982851852,tbabs*po,73.47148132324219,95.47148132324219,120.36095997069665,99.94605759442862,1.224524688720703,60.0,1258.5860595703125,0.11799243092536926,0.009763527661561966,1.9262107610702515,1.5377278327941895,2.363229751586914,-10.714550971984863,-10.761434555053711,-10.668031692504883,0.7829972505569458,0.5654775500297546,1.0120506286621094,0.0009133497951552272,0.0006619201158173382,0.0012807610910385847,0.7170400619506836,0.6332443356513977,0.8115003705024719
