obsid,mjd,mjd_err,mjd_obs,mjd_end,model,stat,AIC,BIC,AICc,red_chi2,DOF,exp,rate,rate_err,nh,nh_lowbound,nh_upbound,flux,flux_lowbound,flux_upbound,po_Gamma,po_Gamma_lowbound,po_Gamma_upbound,po_norm,po_norm_lowbound,po_norm_upbound
016_7202630102,60719.711466249995,0.0025173611102218274,60719.70894888889,60719.71398361111,tbabs*po,393.39630126953125,401.39630126953125,413.91589612922354,401.64020370855565,2.384220007694129,165.0,435.0,75.91724395751953,0.44296857714653015,1.2485755681991577,1.230130672454834,1.271956205368042,-9.205256462097168,-9.20854377746582,-9.20166015625,1.594160556793213,1.5740416049957275,1.616749882698059,0.08813043683767319,0.08615604043006897,0.09049256145954132
017_7202630102,60719.776171111116,0.002395833333139308,60719.77377527778,60719.77856694445,tbabs*po,386.3885192871094,394.3885192871094,406.4043045108912,394.66629706488715,2.6647484088766165,145.0,414.0,77.03140258789062,0.4569645822048187,1.281274437904358,1.240588665008545,1.302672028541565,-9.189212799072266,-9.194128036499023,-9.185990333557129,1.5692211389541626,1.5380769968032837,1.5887917280197144,0.08894515782594681,0.08539462834596634,0.0911889299750328
018_7202630102,60719.90521625,0.002274305556056788,60719.90294194444,60719.90749055555,tbabs*po,306.0731201171875,314.0731201171875,325.81101584971026,314.3716275798741,2.267208297164352,135.0,393.0,76.5216293334961,0.4665834605693817,1.2447700500488281,1.2230161428451538,1.2643709182739258,-9.195624351501465,-9.198997497558594,-9.1924409866333,1.5738276243209839,1.5526589155197144,1.5925252437591553,0.08811342716217041,0.08584247529506683,0.09008432924747467
019_7202630103,60720.09886787037,0.001921296297950903,60720.09694657407,60720.10078916667,tbabs*po,344.36798095703125,352.36798095703125,364.54168142470826,352.6346476236979,2.2805826553445776,151.0,332.0,75.09036254882812,0.4986560642719269,1.262795090675354,1.2344247102737427,1.2958896160125732,-9.206954002380371,-9.210909843444824,-9.202964782714844,1.5979100465774536,1.5724817514419556,1.6264756917953491,0.08814049512147903,0.08551041036844254,0.09131509065628052
020_7202630103,60720.22806347222,0.0016608796286163852,60720.22640259259,60720.22972435185,tbabs*po,289.4957275390625,297.4957275390625,309.9195094346648,297.7457275390625,1.7981101089382765,161.0,287.0,75.75958251953125,0.5353325605392456,1.3118541240692139,1.2717466354370117,1.3437241315841675,-9.194035530090332,-9.198670387268066,-9.189217567443848,1.598877191543579,1.5637203454971313,1.6249148845672607,0.0909377858042717,0.08728543668985367,0.0939221978187561
021_7202630103,60720.42154148148,0.001701388890069211,60720.41984009259,60720.42324287037,tbabs*po,310.072021484375,318.072021484375,330.543996734042,318.31893506462194,1.9022823403949387,163.0,294.0,75.4455795288086,0.5281567573547363,1.260132074356079,1.232952356338501,1.2869573831558228,-9.201184272766113,-9.205256462097168,-9.19681453704834,1.5609110593795776,1.5328983068466187,1.5860573053359985,0.08574330061674118,0.08303263783454895,0.08830734342336655
022_7202630103,60720.48600907407,0.0015856481477385387,60720.48442342592,60720.48759472222,tbabs*po,329.8770751953125,337.8770751953125,350.02488560496704,338.1455315711514,2.1991805013020835,150.0,274.0,77.37226104736328,0.5531767010688782,1.2836488485336304,1.2492356300354004,1.3100014925003052,-9.191655158996582,-9.195793151855469,-9.186956405639648,1.6040104627609253,1.568636178970337,1.6251310110092163,0.09195017069578171,0.08828233182430267,0.094487264752388
023_7202630103,60720.55115953703,0.0007870370354794431,60720.5503725,60720.55194657407,tbabs*po,240.86395263671875,248.86395263671875,260.5729673773476,249.164704516418,1.79749218385611,134.0,136.0,74.02941131591797,0.7525168061256409,1.2515969276428223,1.2150517702102661,1.312819480895996,-9.211527824401855,-9.217798233032227,-9.204122543334961,1.5410244464874268,1.502236008644104,1.5889652967453003,0.08182661980390549,0.07832836359739304,0.0866958349943161
024_7202630103,60720.61533199074,0.001197916666569654,60720.61413407407,60720.616529907405,tbabs*po,333.468017578125,341.468017578125,353.8917994737273,341.718017578125,2.0712299228454967,161.0,207.0,76.28502655029297,0.6257097125053406,1.2640008926391602,1.2066718339920044,1.2918281555175781,-9.202433586120605,-9.208710670471191,-9.197182655334473,1.5853731632232666,1.535872220993042,1.6094716787338257,0.08785853534936905,0.08264826983213425,0.09051597863435745
025_7202630103,60720.67951601851,0.0013657407398568466,60720.67815027777,60720.68088175925,tbabs*po,317.50927734375,325.50927734375,338.25882056711305,325.7391624012213,1.8143387276785714,175.0,236.0,75.09745788574219,0.5836161971092224,1.2447491884231567,1.220282793045044,1.270316243171692,-9.203078269958496,-9.207491874694824,-9.198169708251953,1.563387393951416,1.5366610288619995,1.5954385995864868,0.08559104800224304,0.08300340920686722,0.08898964524269104
026_7202630103,60720.937525277775,0.0014583333322661929,60720.93606694444,60720.93898361111,tbabs*po,308.01397705078125,316.01397705078125,327.66459659372543,316.3193205622316,2.3334392200816763,132.0,252.0,63.95634841918945,0.5195413827896118,1.282314658164978,1.239081859588623,1.3115134239196777,-9.206124305725098,-9.21136474609375,-9.200322151184082,1.5800577402114868,1.5316299200057983,1.6048517227172852,0.08666014671325684,0.08229852467775345,0.08928029239177704
027_7202630104,60721.0018887037,0.0014467592591245193,60721.00044194444,60721.003335462956,tbabs*po,335.1293029785156,343.1293029785156,355.27711338817016,343.39775935435455,2.234195353190104,150.0,250.0,63.21200180053711,0.5185631513595581,1.2797120809555054,1.2493863105773926,1.3112810850143433,-9.217535018920898,-9.222352027893066,-9.212196350097656,1.6260420083999634,1.5927690267562866,1.6572200059890747,0.08872614800930023,0.08547700941562653,0.09201255440711975
028_7202630104,60721.13067342593,0.0009722222239361145,60721.1297012037,60721.13164564815,tbabs*po,222.74127197265625,230.74127197265625,243.5130993762171,230.96984340122768,1.2655754089355469,176.0,168.0,55.73214340209961,0.5867903232574463,1.303523302078247,1.2597546577453613,1.364926815032959,-9.197726249694824,-9.205466270446777,-9.190943717956543,1.5851092338562012,1.5472885370254517,1.6441172361373901,0.08877262473106384,0.08482211828231812,0.0944616049528122
029_8202630105,60742.576275277774,0.0008680555547471158,60742.57540722222,60742.57714333333,tbabs*po,141.62718200683594,149.62718200683594,162.67794276245547,149.83994796428274,0.7493501693483383,189.0,150.0,15.0600004196167,0.31877389550209045,1.4012677669525146,1.2800734043121338,1.4905626773834229,-9.376944541931152,-9.392863273620605,-9.363476753234863,1.6645317077636719,1.5504212379455566,1.741869330406189,0.06416527181863785,0.05598338693380356,0.0701492503285408
030_8202630105,60742.834788009255,0.001417824074451346,60742.83337018518,60742.83620583333,tbabs*po,182.55026245117188,190.55026245117188,207.4957408119867,190.6293138345711,0.36005968925280446,507.0,245.0,19.79183578491211,0.28760555386543274,1.3716301918029785,1.2989863157272339,1.4435076713562012,-9.384696006774902,-9.394773483276367,-9.374329566955566,1.704111933708191,1.6259320974349976,1.7711389064788818,0.06550958752632141,0.05965234339237213,0.070655956864357
