obsid,mjd,mjd_err,mjd_obs,mjd_end,model,stat,AIC,BIC,AICc,red_chi2,DOF,exp,rate,rate_err,nh,nh_lowbound,nh_upbound,flux,flux_lowbound,flux_upbound,po_Gamma,po_Gamma_lowbound,po_Gamma_upbound,po_norm,po_norm_lowbound,po_norm_upbound
012_00015082027,60735.34213471506,0.004433591297129169,60735.33770112376,60735.346568306355,tbabs*po,31.108224868774414,39.108224868774414,45.762471453293,40.28469545700971,0.8888064248221261,35.0,766.1245727539062,4.732574939727783,0.08297406882047653,1.5551481246948242,1.4580435752868652,1.6560240983963013,-9.261740684509277,-9.275335311889648,-9.247220993041992,1.5322186946868896,1.4690061807632446,1.596341609954834,0.06751860678195953,0.061778098344802856,0.07389812171459198
013_00015082031,60738.731498351015,0.005310144395480165,60738.72618820662,60738.736808495414,tbabs*po,50.7205924987793,58.7205924987793,65.37483908329789,59.897063087014594,1.4491597856794085,35.0,917.593017578125,5.604703903198242,0.07954071462154388,1.4870585203170776,1.4112670421600342,1.5652203559875488,-9.194896697998047,-9.206068992614746,-9.183114051818848,1.5556037425994873,1.504638671875,1.6071339845657349,0.08061336725950241,0.07508351653814316,0.08662620931863785
014_00015082034,60742.75830080417,0.004245048727170797,60742.75405575544,60742.76254585289,tbabs*po,51.62880325317383,59.62880325317383,66.28304983769242,60.805273841409125,1.475108664376395,35.0,733.5443725585938,4.935866832733154,0.08491001278162003,1.2367706298828125,1.1507537364959717,1.3263359069824219,-9.291333198547363,-9.303248405456543,-9.278857231140137,1.4515386819839478,1.391395092010498,1.51255202293396,0.05797645077109337,0.05329795926809311,0.06314608454704285
015_00015082037,60743.943532803365,0.003502059946185909,60743.94003074342,60743.94703486331,tbabs*po,32.69654083251953,40.69654083251953,47.35078741703812,41.87301142075483,0.9341868809291295,35.0,605.1558837890625,5.145517349243164,0.09399407356977463,1.2483725547790527,1.1547108888626099,1.3460965156555176,-9.26634693145752,-9.278532981872559,-9.253633499145508,1.3985425233840942,1.33444082736969,1.4636356830596924,0.05792577192187309,0.052926789969205856,0.06349169462919235
016_00015082036,60744.98333578269,0.0009488411742495373,60744.98238694151,60744.98428462386,tbabs*po,27.595046997070312,35.59504699707031,41.700489095534955,36.9743573418979,0.9198348999023438,30.0,163.95970153808594,5.226356506347656,0.18389230966567993,1.2080574035644531,1.0325487852096558,1.3990834951400757,-9.253521919250488,-9.274706840515137,-9.231410026550293,1.286476969718933,1.165934681892395,1.4105417728424072,0.05233205482363701,0.044093161821365356,0.062434107065200806
017_00015082038,60745.62323150586,0.0006219786519068293,60745.62260952721,60745.62385348451,tbabs*po,23.61217498779297,31.61217498779297,37.21696451444159,33.21217498779297,0.9081605764535757,26.0,107.47789764404297,4.763327598571777,0.21365270018577576,1.0969507694244385,0.9070448279380798,1.3053207397460938,-9.32236385345459,-9.34990119934082,-9.29274845123291,1.4028366804122925,1.2553917169570923,1.5546594858169556,0.05116130784153938,0.041758470237255096,0.06307628005743027
018_00015082040,60747.19331931989,0.0007144825467548799,60747.19260483734,60747.194033802436,tbabs*po,27.704132080078125,35.704132080078125,41.44008089801871,37.242593618539665,1.0260789659288194,27.0,123.46260070800781,4.494629859924316,0.2001006156206131,1.3854140043258667,1.1677484512329102,1.6273012161254883,-9.312186241149902,-9.348371505737305,-9.268797874450684,1.6398082971572876,1.4817705154418945,1.804082989692688,0.06665242463350296,0.05359048396348953,0.08365079015493393
019_00015082041,60749.67498595941,0.004911831947538303,60749.67007412746,60749.67989779136,tbabs*po,18.726205825805664,26.726205825805664,33.16987747638256,27.976205825805664,0.5674607826001716,33.0,848.7645874023438,1.734777569770813,0.05054451897740364,1.1610816717147827,1.0217711925506592,1.3112560510635376,-9.604805946350098,-9.624383926391602,-9.58371639251709,1.451366662979126,1.3499964475631714,1.5557715892791748,0.028163999319076538,0.024465011432766914,0.03255065903067589
020_00015082045,60757.81222423987,0.0017268321244046092,60757.81049740774,60757.81395107199,tbabs*po,28.628950119018555,36.628950119018555,42.614980364884474,38.057521547589985,0.9872051765178812,29.0,298.3966064453125,2.676682710647583,0.10110416263341904,1.2158406972885132,1.011193037033081,1.437514305114746,-9.379145622253418,-9.407011985778809,-9.34748363494873,1.4779568910598755,1.3362724781036377,1.6242362260818481,0.04871959611773491,0.039933256804943085,0.059786856174468994
021_00015082045,60758.92625666177,0.0021918255552009214,60758.92406483622,60758.92844848733,tbabs*po,27.739553451538086,35.739553451538086,41.84499555000273,37.11886379636567,0.9246517817179362,30.0,378.74749755859375,3.286252021789551,0.09901782870292664,1.4674198627471924,1.3080155849456787,1.6383886337280273,-9.313672065734863,-9.336786270141602,-9.287723541259766,1.5526293516159058,1.4441279172897339,1.664100170135498,0.061144597828388214,0.05253159999847412,0.07145728915929794
022_00015082047,60763.478923834926,0.00514172509429045,60763.47378210983,60763.48406556002,tbabs*po,28.822574615478516,36.822574615478516,43.15665036930295,38.112897196123676,0.9007054567337036,32.0,888.4901123046875,1.6365749835968018,0.04666024073958397,1.3188693523406982,1.1656880378723145,1.4821628332138062,-9.61163330078125,-9.6317777633667,-9.58970832824707,1.4534037113189697,1.3503323793411255,1.5590994358062744,0.02778559736907482,0.02401849254965782,0.0322522334754467
023_00015082048,60770.498340687074,0.0037531071102421265,60770.49458757997,60770.50209379419,tbabs*po,43.54121780395508,51.54121780395508,57.984889454531974,52.79121780395508,1.3194308425440933,33.0,648.5369262695312,2.5635135173797607,0.06730317324399948,1.1203290224075317,0.9916943311691284,1.2579175233840942,-9.581490516662598,-9.597363471984863,-9.565168380737305,1.2812339067459106,1.1923694610595703,1.372192144393921,0.024436157196760178,0.02154587209224701,0.0278018731623888
024_00015082049,60778.77172822112,0.00886229994284804,60778.76286592118,60778.78059052106,tbabs*po,28.067794799804688,36.06779479980469,42.51146645038158,37.31779479980469,0.8505392363577178,33.0,1531.405029296875,1.2188374996185303,0.03258214145898819,0.8819567561149597,0.7637637257575989,1.0099116563796997,-9.756896018981934,-9.772242546081543,-9.741606712341309,1.1556529998779297,1.0671615600585938,1.246527075767517,0.013920607045292854,0.012281772680580616,0.01582825742661953
025_00015082049,60778.96809125425,0.007623864355991827,60778.9604673899,60778.97571511861,tbabs*po,22.397676467895508,30.397676467895508,36.94802110680105,31.60979768001672,0.6587551902322208,34.0,1317.404052734375,1.918293833732605,0.04195272922515869,1.0125830173492432,0.9052067995071411,1.1267786026000977,-9.69481372833252,-9.707046508789062,-9.68271255493164,1.0524415969848633,0.979418158531189,1.1269668340682983,0.013978729955852032,0.012577123008668423,0.015569357201457024
026_00015082050,60780.07589592246,0.0033241458622796927,60780.0725717766,60780.07922006833,tbabs*po,32.85647201538086,40.85647201538086,46.59242083332144,42.3949335538424,1.2169063709400318,27.0,574.4124145507812,0.5306058526039124,0.03906809166073799,5.232877254486084,3.705667495727539,7.260551452636719,-9.915569305419922,-9.959547996520996,-9.856544494628906,0.7730031609535217,0.43666186928749084,1.1368428468704224,0.005590925458818674,0.003107394091784954,0.010582701303064823
027_00015082050,60780.139720485226,0.0019981878103862982,60780.13772229742,60780.14171867304,tbabs*po,13.632567405700684,21.632567405700684,26.815914869718,23.4507492238825,0.5927203219869862,23.0,345.2868957519531,0.3676803708076477,0.04502397030591965,7.970773696899414,4.490358352661133,12.583473205566406,-10.000971794128418,-10.06846809387207,-9.90103816986084,0.5420547127723694,-0.01712229661643505,1.1603429317474365,0.003164650872349739,0.0011536269448697567,0.009758719243109226
028_00015082050,60780.26787827097,0.0057602116830821615,60780.26211805929,60780.27363848266,tbabs*po,27.07584571838379,35.07584571838379,40.9387893295827,36.55732719986527,0.9669944899422782,28.0,995.3646240234375,0.3471275866031647,0.027197889983654022,16.270158767700195,11.431641578674316,22.142030715942383,-9.256468772888184,-9.68997573852539,-8.576077461242676,2.5654749870300293,1.8939082622528076,3.3269736766815186,0.1148248240351677,0.0,0.45138782262802124
029_00015082050,60780.395456364415,0.0031993843949749134,60780.39225698002,60780.39865574881,tbabs*po,27.32817268371582,35.32817268371582,41.43361478218046,36.70748302854341,0.910939089457194,30.0,552.8535766601562,1.3124866485595703,0.05720105022192001,1.366067886352539,1.0964562892913818,1.6726324558258057,-9.807660102844238,-9.832756996154785,-9.781878471374512,1.1250429153442383,0.9698315858840942,1.2879571914672852,0.01189426239579916,0.009452392347157001,0.015139474533498287
030_00015082051,60784.7519235198,0.004391087004478322,60784.7475324328,60784.756314606806,tbabs*po,44.58296585083008,52.58296585083008,58.917041604654514,53.87328843147524,1.39321768283844,32.0,758.77978515625,1.6256041526794434,0.05170730501413345,1.3273080587387085,1.1484984159469604,1.5230555534362793,-9.749715805053711,-9.772330284118652,-9.724469184875488,1.4409414529800415,1.32425057888031,1.5623292922973633,0.019946981221437454,0.01690118946135044,0.023701539263129234
031_00015082051,60784.883943013774,0.004993886399461189,60784.87894912737,60784.88893690017,tbabs*po,36.35908126831055,44.35908126831055,50.69315702213498,45.64940384895571,1.1362212896347046,32.0,862.9434814453125,1.241110920906067,0.04344693198800087,1.5213611125946045,1.2998337745666504,1.7626383304595947,-9.824667930603027,-9.851638793945312,-9.793549537658691,1.4749178886413574,1.3414483070373535,1.6134755611419678,0.017409276217222214,0.014354527927935123,0.021260427311062813
032_00015082052,60787.75400291772,0.0057462543809378985,60787.74825666334,60787.7597491721,tbabs*po,30.65707015991211,38.65707015991211,44.76251225837675,40.0363805047397,1.021902338663737,30.0,992.9528198242188,0.5828414559364319,0.03158874809741974,0.8851479887962341,0.66985684633255,1.1341347694396973,-9.912983894348145,-9.943632125854492,-9.882744789123535,1.187971830368042,1.0185132026672363,1.3662290573120117,0.010134214535355568,0.007992814294993877,0.012987597845494747
033_00015082053,60790.48418054261,0.0019858495907101315,60790.48219469302,60790.4861663922,tbabs*po,21.80546760559082,29.80546760559082,34.98881506960814,31.623649423772637,0.9480638089387313,23.0,343.15478515625,0.37830987572669983,0.049700114876031876,2.392744302749634,1.4903194904327393,3.476072072982788,-9.74437141418457,-9.989766120910645,-9.315483093261719,2.409572124481201,1.814204454421997,3.1154026985168457,0.036900464445352554,0.016562875360250473,0.09022264927625656
034_00015082053,60790.53749392656,0.0026950852625304833,60790.5347988413,60790.54018901182,tbabs*po,19.673555374145508,27.673555374145508,33.27834490079413,29.27355537414551,0.7566752066979041,26.0,465.710693359375,0.4617091417312622,0.04589599743485451,0.5399240255355835,0.22740334272384644,0.9206759929656982,-10.09009838104248,-10.150403022766113,-10.034122467041016,1.114153504371643,0.8013702034950256,1.456265926361084,0.006117686163634062,0.004018023144453764,0.009506424888968468
035_00015082053,60790.74793362092,0.004718287931609666,60790.74321533299,60790.75265190885,tbabs*po,40.33844757080078,48.33844757080078,54.3244778166667,49.76701899937221,1.3909809507172683,29.0,815.3201293945312,0.7589997053146362,0.038113679736852646,1.6943763494491577,1.3443812131881714,2.0857925415039062,-10.017544746398926,-10.056435585021973,-9.968697547912598,1.4678856134414673,1.2661627531051636,1.680662989616394,0.01108270138502121,0.008260920643806458,0.015083862468600273
036_00015082054,60793.023080086976,0.005432403748272918,60793.01764768323,60793.028512490724,tbabs*po,38.15184020996094,46.15184020996094,52.37323245591859,47.48517354329427,1.2307045229019657,31.0,938.7194213867188,0.6720289587974548,0.03602034971117973,1.3177348375320435,1.0091294050216675,1.6740648746490479,-10.122658729553223,-10.15600299835205,-10.086356163024902,1.271300196647644,1.0790506601333618,1.473909854888916,0.006943741347640753,0.005251418333500624,0.009306414052844048
037_00015082054,60793.93409471856,0.004138984564633574,60793.929955734,60793.93823370313,tbabs*po,36.335689544677734,44.335689544677734,49.94047907132636,45.935689544677736,1.3975265209491436,26.0,715.2166137695312,0.20078061521053314,0.030205078423023224,0.813219428062439,0.4270056188106537,1.3473515510559082,-10.270045280456543,-10.342493057250977,-10.204065322875977,0.9977189302444458,0.6438722610473633,1.3798060417175293,0.00354753527790308,0.0021280969958752394,0.005782943684607744
